https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1620518400000,2021-05-09 00:00:00,ETH/BTC,0.06643900,0.06890000,0.06532000,0.06737500,296905.34000000,19935.75776801,478376
1620432000000,2021-05-08 00:00:00,ETH/BTC,0.06070300,0.06730000,0.05979300,0.06642800,373976.01000000,23503.09429689,564070
1620345600000,2021-05-07 00:00:00,ETH/BTC,0.06188200,0.06216800,0.06012200,0.06070100,210118.24700000,12857.20627175,347178
1620259200000,2021-05-06 00:00:00,ETH/BTC,0.06135900,0.06310000,0.05960000,0.06188100,263263.14800000,16142.65771466,422145
1620172800000,2021-05-05 00:00:00,ETH/BTC,0.06090400,0.06200400,0.05700000,0.06136300,371097.54800000,22268.15153328,536297
1620086400000,2021-05-04 00:00:00,ETH/BTC,0.06001700,0.06441200,0.05732100,0.06088600,524105.19700000,31743.59536163,756797
1620000000000,2021-05-03 00:00:00,ETH/BTC,0.05213100,0.06020100,0.05182500,0.05999500,429333.30200000,23783.56819270,592224
1619913600000,2021-05-02 00:00:00,ETH/BTC,0.05094400,0.05267600,0.05077100,0.05213400,188335.39800000,9716.77594080,271263
1619827200000,2021-05-01 00:00:00,ETH/BTC,0.04805400,0.05120700,0.04730800,0.05094800,251319.23200000,12467.54283323,327208
1619740800000,2021-04-30 00:00:00,ETH/BTC,0.05148600,0.05166500,0.04770200,0.04805400,295218.30200000,14648.17839252,358460
1619654400000,2021-04-29 00:00:00,ETH/BTC,0.05011400,0.05190000,0.04950100,0.05149200,242185.74800000,12338.96278906,334603
1619568000000,2021-04-28 00:00:00,ETH/BTC,0.04845700,0.05033800,0.04752300,0.05011400,260077.98000000,12759.39789104,356793
1619481600000,2021-04-27 00:00:00,ETH/BTC,0.04689600,0.04868000,0.04644400,0.04845700,184509.35500000,8750.12051049,238245
1619395200000,2021-04-26 00:00:00,ETH/BTC,0.04728400,0.04801100,0.04600000,0.04689500,206812.67500000,9677.13318275,264869
1619308800000,2021-04-25 00:00:00,ETH/BTC,0.04422200,0.04735000,0.04371000,0.04729800,183278.88100000,8439.88653865,213370
1619222400000,2021-04-24 00:00:00,ETH/BTC,0.04631500,0.04632000,0.04410100,0.04422200,164214.32300000,7423.10060895,220877
1619136000000,2021-04-23 00:00:00,ETH/BTC,0.04639000,0.04702600,0.04350000,0.04632000,454987.69500000,20691.70590966,552042
1619049600000,2021-04-22 00:00:00,ETH/BTC,0.04381700,0.04819500,0.04348200,0.04639000,569124.95200000,26343.17277436,715344
1618963200000,2021-04-21 00:00:00,ETH/BTC,0.04130100,0.04402700,0.04099700,0.04381500,376984.78300000,16001.14392893,464363
1618876800000,2021-04-20 00:00:00,ETH/BTC,0.03884800,0.04144000,0.03801300,0.04129900,299245.31400000,11875.24917330,417540
1618790400000,2021-04-19 00:00:00,ETH/BTC,0.03981600,0.04000000,0.03829800,0.03884400,198644.93700000,7787.46301570,319242
1618704000000,2021-04-18 00:00:00,ETH/BTC,0.03861900,0.03989000,0.03705000,0.03981600,338071.58600000,13127.36644854,580300
1618617600000,2021-04-17 00:00:00,ETH/BTC,0.03949400,0.04017200,0.03855900,0.03861900,225044.63100000,8882.93879953,353735
1618531200000,2021-04-16 00:00:00,ETH/BTC,0.03979500,0.04009400,0.03805000,0.03949100,303816.64600000,11955.87642613,445941
1618444800000,2021-04-15 00:00:00,ETH/BTC,0.03863500,0.04017700,0.03833500,0.03979500,296939.15200000,11642.00811861,405338
